Rank,Artist,Song,Features
1,Ke$ha,Tik-Toc,
2,Lady GaGa,Bad Romance,
3,Train,"Hey, Soul Sister",
4,Eminem,Love The Way You Lie,Rihanna
5,Katy Perry,California Gurls,Snoop Dogg
6,Taio Cruz,Dynamite,
7,Lady GaGa,Telephone,Beyonce
8,Taio Cruz,Break Your Heart,Ludacris
9,Shakira,Waka Waka (This Time For Africa),Freshly Ground
10,Lady GaGa,Alejandro,
11,The Black Eyed Peas,I Gotta Feeling,
12,BoB,Airplanes,Hayley Williams
13,Usher,OMG,will.i.am
14,Enrique Iglesias & Pitbull,I Like It,
15,Rihanna,Rude Boy,
16,Jason Derulo,In My Head,
17,Yolanda Be Cool,We No Speak Americano,DCup
18,Owl City,Fireflies,
19,Iyaz,Replay,
20,Lady Antebellum,Need You Now,
21,Stromae,Alors on danse,
22,Eminem,Not Afraid,
23,Usher,DJ Got Us Fallin' In Love,Pitbull
24,Jay-Z,Empire State Of Mind,Alicia Keys
25,Flo-Rida,Club Can't Handle Me,David Guetta
26,Katy Perry,Teenage Dream,
27,Bruno Mars,Just The Way You Are (Amazing),
28,Edward Maya,Stereo Love,
29,Justin Bieber & Ludacris,Baby,Ludacris
30,Rihanna,Only Girl (In The World),
31,David Guetta,Memories,Kid Cudi
32,BoB & Bruno Mars,Nothin' On You,Bruno Mars
33,The Black Eyed Peas,Meet Me Half Way,
34,K'naan,Wavin' Flag,
35,David Guetta,Sexy Chick (Sexy Bitch),Akon
36,Adam Lambert,What Do You Want From Me?,
37,Mike Posner,Cooler Than Me,
38,Travie McCoy,Billionaire,Bruno Mars
39,David Guetta,Getting Over You,Chris Willis
40,Unheilig,Geboren um zu leben,
